person_name,person_wikidata_id,person_description,award_name,award_wikidata_id,year,isiscb_id,viaf_id,cb_viaf_id,match_method
Charles Donald O'Malley,Q68920940,American historian of science,Pfizer Award,Q1673732,1965,CBA000075114,73936066,http://viaf.org/viaf/73936066,viaf
L. Pearce Williams,Q6456593,American academic (1927-2015),Pfizer Award,Q1673732,1966,CBA000110052,34525180,http://viaf.org/viaf/34525180,viaf
Howard B. Adelmann,Q71664107,American historian of science,Pfizer Award,Q1673732,1967,CBA000000527,22270609,http://viaf.org/viaf/22270609,viaf
Edward Rosen,Q5345115,American historian of science (1906-1985),Pfizer Award,Q1673732,1968,CBA000087014,108630454,http://viaf.org/viaf/108630454,viaf
Margaret May,Q28925161,British health sciences modeller,Pfizer Award,Q1673732,1969,,,,
Michael Ghiselin,Q547129,American biologist (1939–2024),Pfizer Award,Q1673732,1970,CBA000036768,24648332,http://viaf.org/viaf/24648332,viaf
David Joravsky,Q71585206,American historian,Pfizer Award,Q1673732,1971,CBA000051206,15950206,http://viaf.org/viaf/15950206,viaf
Richard S. Westfall,Q1074715,American historian of science (1924–1996),Pfizer Award,Q1673732,1972,CBA000108991,292198614,http://viaf.org/viaf/292198614,viaf
Joseph S. Fruton,Q6286748,American biochemist,Pfizer Award,Q1673732,1973,CBA000034461,100503929,http://viaf.org/viaf/100503929,viaf
Susan Schlee,Q68592143,historian of oceanography,Pfizer Award,Q1673732,1974,CBA000090933,79311713,http://viaf.org/viaf/79311713,viaf
Frederic Lawrence Holmes,Q15446721,American historian (1932-2003),Pfizer Award,Q1673732,1975,CBA000046745,27146829,"http://viaf.org/viaf/43261292, http://viaf.org/viaf/27146829",viaf
Otto E. Neugebauer,Q111996,Austrian-American mathematician (1899–1990),Pfizer Award,Q1673732,1976,CBA000073701,108610011,http://viaf.org/viaf/108610011,viaf
Stephen Brush,Q1763302,American physicist,Pfizer Award,Q1673732,1977,CBA000013852,79047084,http://viaf.org/viaf/79047084,viaf
Allen G. Debus,Q24292,American historian of science (1926-2009),Pfizer Award,Q1673732,1978,CBA000024169,29559673,http://viaf.org/viaf/29559673,viaf
Merritt Roe Smith,Q6820361,American historian,Pfizer Award,Q1673732,1978,CBA000095886,93041342,http://viaf.org/viaf/93041342,viaf
Susan Faye Cannon,Q7647814,science historian for the National Museum of American History (1925–1981),Pfizer Award,Q1673732,1979,CBA000015954,33247814,http://viaf.org/viaf/33247814,viaf
Frank Sulloway,Q788582,American psychologist and historian of science,Pfizer Award,Q1673732,1980,CBA000099633,51841084,http://viaf.org/viaf/51841084,viaf
Charles Coulston Gillispie,Q1064544,American historian (1918–2015),Pfizer Award,Q1673732,1981,CBA000037219,88885236,http://viaf.org/viaf/88885236,viaf
Thomas Goldstein,Q21845863,German historian (1913-1997),Pfizer Award,Q1673732,1982,CBA000038251,45062105,http://viaf.org/viaf/79388913,name
Richard S. Westfall,Q1074715,American historian of science (1924–1996),Pfizer Award,Q1673732,1983,CBA000108991,292198614,http://viaf.org/viaf/292198614,viaf
Kenneth Manning,Q6390442,American academic,Pfizer Award,Q1673732,1984,CBA000064504,41946147,http://viaf.org/viaf/41946147,viaf
Noel Swerdlow,Q1995380,American historian (1941-2021),Pfizer Award,Q1673732,1985,CBA000100083,46828252,http://viaf.org/viaf/46828252,viaf
Otto E. Neugebauer,Q111996,Austrian-American mathematician (1899–1990),Pfizer Award,Q1673732,1985,CBA000073701,108610011,http://viaf.org/viaf/108610011,viaf
I. Bernard Cohen,Q1347036,American historian of science (1914–2003),Pfizer Award,Q1673732,1986,CBA033523925,109027684,https://viaf.org/viaf/109027684/,viaf
Christa Jungnickel,Q59532042,American historian of science (1935-1990),Pfizer Award,Q1673732,1987,CBA000051515,68956505,http://viaf.org/viaf/68956505,viaf
Russell McCormmach,Q2176938,American historian,Pfizer Award,Q1673732,1987,CBA000067004,54168497,http://viaf.org/viaf/54168497,viaf
Robert J. Richards,Q7345962,American historian of science (1942-),Pfizer Award,Q1673732,1988,CBA000084940,94989226,http://viaf.org/viaf/94989226,viaf
Lorraine Daston,Q529094,American historian of science,Pfizer Award,Q1673732,1989,CBA000023523,266876859,http://viaf.org/viaf/266876859,viaf
Crosbie Smith,Q71687531,English historian of science,Pfizer Award,Q1673732,1990,CBA000095685,12353283,http://viaf.org/viaf/12353283,viaf
M. Norton Wise,Q16887085,"Distinguished Professor of History, University of California, Los Angeles",Pfizer Award,Q1673732,1990,CBA000110724,61591627,http://viaf.org/viaf/61591627,viaf
Adrian Desmond,Q4684978,historian of science,Pfizer Award,Q1673732,1991,CBA000025195,2527422,http://viaf.org/viaf/2527422,viaf
John Servos,Q6257323,American historian,Pfizer Award,Q1673732,1991,CBA000093232,111682575,http://viaf.org/viaf/111682575,viaf
James R. Bartholomew,Q29922079,American historian,Pfizer Award,Q1673732,1992,CBA000005805,286597022,http://viaf.org/viaf/279098784,name
David C. Cassidy,Q1173893,American science historian,Pfizer Award,Q1673732,1993,CBA000016920,66547186,http://viaf.org/viaf/66547186,viaf
Joan Cadden,Q22958688,"American professor, writer",Pfizer Award,Q1673732,1994,CBA000015265,267672541,http://viaf.org/viaf/267672541,viaf
Pamela H. Smith,Q28027754,historian of science,Pfizer Award,Q1673732,1995,CBA000095915,191150061,http://viaf.org/viaf/191150061,viaf
Paula Findlen,Q28921839,American historian (1964-),Pfizer Award,Q1673732,1996,CBA000148912,9957596,"http://viaf.org/viaf/9957596, http://viaf.org/viaf/9957596",viaf
Margaret W. Rossiter,Q6759992,American historian of science,Pfizer Award,Q1673732,1997,CBA000087375,69084476,http://viaf.org/viaf/69084476,viaf
Peter Galison,Q444025,American historian of science and physicist,Pfizer Award,Q1673732,1998,CBA000035049,107594468,http://viaf.org/viaf/107594468,viaf
Katharine Park,Q6376222,History of Science professor,Pfizer Award,Q1673732,1999,CBA000077299,42763312,http://viaf.org/viaf/42763312,viaf
Lorraine Daston,Q529094,American historian of science,Pfizer Award,Q1673732,1999,CBA000023523,266876859,http://viaf.org/viaf/266876859,viaf
Crosbie Smith,Q71687531,English historian of science,Pfizer Award,Q1673732,2000,CBA000095685,12353283,http://viaf.org/viaf/12353283,viaf
John L. Heilbron,Q1700413,American historian of science (1934–2023),Pfizer Award,Q1673732,2001,CBA000044167,29559137,"http://viaf.org/viaf/29559137, http://viaf.org/viaf/29559137",viaf
Miguel Ángel Asenjo Sebastián,Q89912119,,Pfizer Award,Q1673732,2001,,18500619,,
James A. Secord,Q61944839,American British historian of science,Pfizer Award,Q1673732,2002,CBA000092600,61637081,http://viaf.org/viaf/61637081,viaf
Mary Terrall,Q69669214,American historian of science,Pfizer Award,Q1673732,2003,CBA000101336,89748249,http://viaf.org/viaf/89748249,viaf
Janet Browne,Q6153222,British historian of science,Pfizer Award,Q1673732,2004,CBA000013552,109290373,http://viaf.org/viaf/109290373,viaf
Lawrence M. Principe,Q6504357,American chemist and historian of science,Pfizer Award,Q1673732,2005,CBA000081904,28282892,http://viaf.org/viaf/28282892,viaf
William R. Newman,Q8017256,"professor, scientist",Pfizer Award,Q1673732,2005,CBA000073882,56700335,http://viaf.org/viaf/56700335,viaf
"Richard W. Burkhardt, Jr.",Q56481002,American historian of science,Pfizer Award,Q1673732,2006,CBA000014647,97710933,http://viaf.org/viaf/97710933,viaf
David Kaiser,Q5235818,American physicist,Pfizer Award,Q1673732,2007,CBA000051765,69153695,http://viaf.org/viaf/69153695,viaf
Deborah Harkness,Q2541295,"American scholar, novelist and wine enthusiast",Pfizer Award,Q1673732,2008,CBA000042803,117039140,http://viaf.org/viaf/117039140,viaf
Harold J. Cook,Q5660339,American historian,Pfizer Award,Q1673732,2009,CBA000020789,262782170,,name
Maria Rosa Antognazza,Q28925077,Italian philosopher,Pfizer Award,Q1673732,2010,CBA000002696,97626582,http://viaf.org/viaf/97626582,viaf
Eleanor Robson,Q434563,British academic,Pfizer Award,Q1673732,2011,CBA000086095,32169986,http://viaf.org/viaf/32169986,viaf
Dagmar Schäfer,Q19502138,German professor,Pfizer Award,Q1673732,2012,CBA017773652,25233523,http://viaf.org/viaf/25233523,viaf
John Tresch,Q71565790,Historian of Science,Pfizer Award,Q1673732,2013,CBA000103266,247305693,http://viaf.org/viaf/247305693,viaf
Sachiko Kusukawa,Q27813801,British historian of science,Pfizer Award,Q1673732,2014,CBA000056817,19782781,http://viaf.org/viaf/19782781,viaf
Daniel P. Todes,Q29653535,medical historian,Pfizer Award,Q1673732,2015,CBA000102541,29582249,http://viaf.org/viaf/29582249,viaf
Valérie D'Acremont,Q96066422,"epidemiologist, physician, professor at the University",Pfizer Award,Q1673732,2015,,95225641,,
Omar W. Nasim,Q71557324,Canadian historian of science,Pfizer Award,Q1673732,2016,CBA000073183,1942186,,name
Tiago Saraiva,Q69358024,Portuguese historian of science,Pfizer Award,Q1673732,2017,CBA000089770,29762809,,name
Anita Guerrini,Q68566178,historian born 1953,Pfizer Award,Q1673732,2018,CBA000040775,111612832,,name
Deborah R. Coen,Q72410049,American historian of science,Pfizer Award,Q1673732,2019,CBA000019831,129146937734013830082,,name
Theodore M. Porter,Q7781903,American historian,Pfizer Award,Q1673732,2020,CBA000081197,107030986,,name
María M. Portuondo,Q96098967,American historian of science,Pfizer Award,Q1673732,2021,CBA000081227,68405260,,name
Tara Nummedal,Q60056531,American historian of science,Pfizer Award,Q1673732,2022,CBA000074846,32331303,,name
Robyn d'Avignon,Q127433005,historian,Pfizer Award,Q1673732,2023,CBA288565849,,https://www.linkedin.com/in/robyn-d-avignon-a08a9087/,name
Carlos Alberto Aguilar Salinas,Q59640618,medical researcher,Pfizer Award,Q1673732,,,34285227,,
Miloš Kaláb,Q15074023,Czech publicist and scientist,Pfizer Award,Q1673732,,,84785477,,
Martin J. S. Rudwick,Q460393,"British geologist, historian, and academic",Sue Tyler Friedman Medal,Q4287196,1988,CBA000088048,54168216,http://viaf.org/viaf/54168216,viaf
Stephen Jay Gould,Q180619,American biologist and historian of science (1941–2002),Sue Tyler Friedman Medal,Q4287196,1989,CBA000039011,108205470,http://viaf.org/viaf/108205470,viaf
William Sarjeant,Q8018123,British novelist and geologist,Sue Tyler Friedman Medal,Q4287196,1990,,68991396,,
Hugh Torrens,Q23017932,English palaeontologist; historian of science,Sue Tyler Friedman Medal,Q4287196,1991,CBA743863967,139050556,,name
François Ellenberger,Q3084560,French geologist (1915-2000),Sue Tyler Friedman Medal,Q4287196,1992,CBA000029037,64031050,,name
Thomas George Vallance,Q34412334,Australian petrologist and historian of science,Sue Tyler Friedman Medal,Q4287196,1993,CBA000104655,65375497,,name
David R. Oldroyd,Q14828017,Australian geologist,Sue Tyler Friedman Medal,Q4287196,1994,CBA000075568,78769685,http://viaf.org/viaf/78769685,viaf
Homer Eugene Le Grand,Q115689634,American-Australian historian of science,Sue Tyler Friedman Medal,Q4287196,1995,CBA000059180,77448573,http://viaf.org/viaf/77448573,viaf
Gordon L. Herries Davies,Q59428171,geographer and historian of earth sciences (1932-2019),Sue Tyler Friedman Medal,Q4287196,1996,CBA000023701,65278262,,name
Martin Guntau,Q59425789,German historian of science,Sue Tyler Friedman Medal,Q4287196,1997,CBA000041050,57758952,,name
Kenneth L. Taylor,Q59452505,American historian of geology,Sue Tyler Friedman Medal,Q4287196,1998,CBA000100995,5229268,http://viaf.org/viaf/5229268,viaf
James A. Secord,Q61944839,American British historian of science,Sue Tyler Friedman Medal,Q4287196,2000,CBA000092600,61637081,http://viaf.org/viaf/61637081,viaf
Rhoda Rappaport,Q93221396,historian of science,Sue Tyler Friedman Medal,Q4287196,2003,CBA000083358,71547525,,name
Ursula B. Marvin,Q7901220,"American geologist, mineralogist and historian of science (1921-2018)",Sue Tyler Friedman Medal,Q4287196,2005,CBA000065750,25897586,,name
Jack Morrell,Q6114197,British historian of science,Sue Tyler Friedman Medal,Q4287196,2007,CBA000071441,94604490,,name
Philippe Taquet,Q595117,French paleontologist,Sue Tyler Friedman Medal,Q4287196,2009,CBA000100724,56616782,,name
Cherry Lewis,Q112543328,British historian of geology,Sue Tyler Friedman Medal,Q4287196,2012,CBA000060300,27289965,,name
Henry R. Frankel,Q59406756,American philosopher and historian of science,Sue Tyler Friedman Medal,Q4287196,2013,CBA000033597,165153574,,name
Edward P.F. Rose,Q34412285,English palaeontologist and geologist,Sue Tyler Friedman Medal,Q4287196,2014,,309566227,,
David Branagan,Q34412174,Australian geologist and historian of geology,Sue Tyler Friedman Medal,Q4287196,2015,CBA000012121,1613985,,name
Richard Howarth,Q34412137,British geologist,Sue Tyler Friedman Medal,Q4287196,2016,CBA000047526,94154259,,name
Mott T. Greene,Q1708877,American historian of science,Sue Tyler Friedman Medal,Q4287196,2017,CBA000039751,111885289,,name
Sandra Herbert,Q59449313,American historian of geology,Sue Tyler Friedman Medal,Q4287196,2020,CBA000044859,46884977,,name
Daniel J. Boorstin,Q551252,American historian (1914–2004),Watson Davis and Helen Miles Davis Prize,Q26269403,1986,CBA000010924,108476590,,name
Thomas L. Hankins,Q15446686,"American professor of history, science historian, physicist",Watson Davis and Helen Miles Davis Prize,Q26269403,1987,CBA000042461,17289057,http://viaf.org/viaf/17289057,viaf
John L. Heilbron,Q1700413,American historian of science (1934–2023),Watson Davis and Helen Miles Davis Prize,Q26269403,1988,CBA000044167,29559137,"http://viaf.org/viaf/29559137, http://viaf.org/viaf/29559137",viaf
Joan Mark,Q76390383,American historian of anthropology,Watson Davis and Helen Miles Davis Prize,Q26269403,1989,CBA000065018,110447225,,name
Robert W. Smith,Q3436505,Canadian historian,Watson Davis and Helen Miles Davis Prize,Q26269403,1990,CBA000159395,1709150869795122190004,,name
Nancy Siraisi,Q1964529,American medical historian,Watson Davis and Helen Miles Davis Prize,Q26269403,1991,CBA000095100,27095702,http://viaf.org/viaf/27095702,viaf
John Hedley Brooke,Q6238513,British historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,1992,CBA000013161,49289055,,name
Adrian Desmond,Q4684978,historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,1993,CBA000025195,2527422,http://viaf.org/viaf/2527422,viaf
James Moore,Q6139971,author of several biographies of Charles Darwin (born 1947),Watson Davis and Helen Miles Davis Prize,Q26269403,1993,CBA000070936,93867795,,name
David C. Lindberg,Q550844,American historian of science (1935–2015),Watson Davis and Helen Miles Davis Prize,Q26269403,1994,CBA000060879,109333288,http://viaf.org/viaf/109333288,viaf
Victor J. Katz,Q26202476,American mathematician,Watson Davis and Helen Miles Davis Prize,Q26269403,1995,CBA000052473,51768782,,name
Betty Jo Teeter Dobbs,Q2900247,American historian (1930-1994),Watson Davis and Helen Miles Davis Prize,Q26269403,1996,CBA000026133,112823969,http://viaf.org/viaf/112823969,viaf
Margaret Jacob,Q43827743,American historian,Watson Davis and Helen Miles Davis Prize,Q26269403,1996,CBA000151823,108641012,,name
Richard Rhodes,Q686683,"historian, journalist and writer from the USA",Watson Davis and Helen Miles Davis Prize,Q26269403,1997,CBA000084754,85178524,,name
Ruth Lewin Sime,Q19299524,American chemist and university teacher,Watson Davis and Helen Miles Davis Prize,Q26269403,1998,CBA000094734,19828434,,name
Daniel Kevles,Q5217796,American historian,Watson Davis and Helen Miles Davis Prize,Q26269403,1999,CBA000053422,40587,http://viaf.org/viaf/40587,viaf
Gregg A. Mitman,Q27042774,"American director, filmmaker, and historian of science",Watson Davis and Helen Miles Davis Prize,Q26269403,2000,CBA000070133,114255475,,name
Nancy Tomes,Q28112840,"American historian, author and academic",Watson Davis and Helen Miles Davis Prize,Q26269403,2001,CBA000160467,114445134,,name
Peter Dear,Q20429301,historian of science and technology,Watson Davis and Helen Miles Davis Prize,Q26269403,2002,CBA000147761,264667912,,name
Ken Alder,Q28062165,American historian,Watson Davis and Helen Miles Davis Prize,Q26269403,2003,CBA000001151,4955748,,name
Jeff Hughes,Q29643019,British historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2004,CBA000047996,46443111,,name
Alan M. Kraut,Q122046919,American historian of immigration,Watson Davis and Helen Miles Davis Prize,Q26269403,2005,CBA000055935,51933328,,name
Robin Marantz Henig,Q7352634,American author and journalist,Watson Davis and Helen Miles Davis Prize,Q26269403,2006,CBA000044629,42736688,,name
Matt Ridley,Q961972,British author and journalist,Watson Davis and Helen Miles Davis Prize,Q26269403,2007,CBA000085176,19819147,,name
Helen M. Rozwadowski,Q110669376,professor of history,Watson Davis and Helen Miles Davis Prize,Q26269403,2008,CBA000087871,69178739,,name
Charles Seife,Q152739,"American author, journalist and professor",Watson Davis and Helen Miles Davis Prize,Q26269403,2009,CBA000092840,84651269,,name
Marcia Bartusiak,Q15987846,"American writer, journalist, and academic",Watson Davis and Helen Miles Davis Prize,Q26269403,2010,CBA000005906,97653341,,name
Erik M. Conway,Q5388707,American historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2011,CBA000020744,54438152,,name
Naomi Oreskes,Q205618,"American historian, scientist, academic",Watson Davis and Helen Miles Davis Prize,Q26269403,2011,CBA000075961,61716481,,name
"Mark V. Barrow, Jr.",Q122048105,American historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2012,,64176271,,
David Kaiser,Q5235818,American physicist,Watson Davis and Helen Miles Davis Prize,Q26269403,2013,CBA000051765,69153695,http://viaf.org/viaf/69153695,viaf
W. Patrick McCray,Q5264879,American scholar,Watson Davis and Helen Miles Davis Prize,Q26269403,2014,CBA000067038,2641929,,name
Martin J. S. Rudwick,Q460393,"British geologist, historian, and academic",Watson Davis and Helen Miles Davis Prize,Q26269403,2015,CBA000088048,54168216,http://viaf.org/viaf/54168216,viaf
Jacob Darwin Hamblin,Q43419702,American historian of science and technology,Watson Davis and Helen Miles Davis Prize,Q26269403,2016,CBA000042142,29821439,,name
Tania Munz,Q122049440,American historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2017,CBA000072472,29314727,,name
Jim Endersby,Q82232993,British historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2018,CBA000029381,68896971,,name
Michael F. Robinson,Q122050759,American historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2019,CBA000086049,68339874,,name
Cathy Gere,Q55404731,British-American historian of medicine,Watson Davis and Helen Miles Davis Prize,Q26269403,2020,CBA000036455,3120151595769705470002,,name
Matthew Stanley,Q122050942,American historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2021,CBA000159679,49560574,,name
Marga Vicedo,Q96072337,philosopher and historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2022,CBA000105693,306128222,,name
Jo Marchant,Q6204350,British journalist,Watson Davis and Helen Miles Davis Prize,Q26269403,2023,CBA000064742,228855264,,name
Theresa Levitt,Q135972562,historian of science,Watson Davis and Helen Miles Davis Prize,Q26269403,2024,CBA000060186,,http://viaf.org/viaf/36396570,name
